timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y,above_ground_altitude,target_z
5.11827,0.28974,0.228577,0.5,0.5,-0.202818,-0.160004,2.86184,-2.08449,2.5721,-2.31306,4.07753,0.5
5.13829,0.284658,0.231955,0.5,0.5,-0.19926,-0.162368,2.85675,-2.08111,2.5721,-2.31306,4.07753,0.5
5.15822,0.263647,0.200371,0.5,0.5,-0.184553,-0.14026,2.85359,-2.07893,2.58994,-2.2793,4.08669,0.5
5.17937,0.262102,0.201414,0.5,0.5,-0.183472,-0.14099,2.85204,-2.07789,2.58994,-2.2793,4.08669,0.5
5.19968,0.235968,0.170914,0.5,0.5,-0.165177,-0.11964,2.84881,-2.07603,2.61285,-2.24694,3.98797,0.5
5.22024,0.228071,0.17475,0.5,0.5,-0.159649,-0.122325,2.84092,-2.07219,2.61285,-2.24694,3.98797,0.5
5.23823,0.226024,0.170174,0.5,0.5,-0.158216,-0.119122,2.83692,-2.07032,2.6109,-2.2405,4.02604,0.5
5.2594,0.222146,0.171951,0.5,0.5,-0.155502,-0.120365,2.83304,-2.06855,2.6109,-2.2405,4.02604,0.5
5.27821,0.218179,0.173501,0.5,0.5,-0.152726,-0.121451,2.82907,-2.067,2.6109,-2.2405,4.02604,0.5
5.29818,0.239656,0.155639,0.5,0.5,-0.167759,-0.108947,2.82366,-2.06466,2.58401,-2.2203,4.06596,0.5
5.31817,0.235941,0.156956,0.5,0.5,-0.165158,-0.109869,2.81995,-2.06334,2.58401,-2.2203,4.06596,0.5
5.33825,0.230773,0.158959,0.5,0.5,-0.161541,-0.111272,2.81478,-2.06134,2.58401,-2.2203,4.06596,0.5
5.3584,0.269599,0.0636068,0.5,0.5,-0.188719,-0.0445247,2.81226,-2.0604,2.54266,-2.124,4.0133,0.5
5.37817,0.259778,0.067118,0.5,0.5,-0.181845,-0.0469826,2.80244,-2.05689,2.54266,-2.124,4.0133,0.5
5.3982,0.275154,0.0653761,0.5,0.5,-0.192608,-0.0457633,2.79782,-2.05524,2.52267,-2.12062,3.98911,0.5
5.41816,0.270639,0.0670047,0.5,0.5,-0.189447,-0.0469033,2.7933,-2.05362,2.52267,-2.12062,3.98911,0.5
5.43821,0.282878,0.0565417,0.5,0.5,-0.198015,-0.0395792,2.79107,-2.05282,2.50819,-2.10936,3.92442,0.5
5.46093,0.27581,0.0589144,0.5,0.5,-0.193067,-0.0412401,2.784,-2.05044,2.50819,-2.10936,3.92442,0.5
5.47814,0.268606,0.0613623,0.5,0.5,-0.188025,-0.0429536,2.7768,-2.048,2.50819,-2.10936,3.92442,0.5
5.49814,0.266269,0.0621684,0.5,0.5,-0.186388,-0.0435179,2.77446,-2.04719,2.50819,-2.10936,3.92442,0.5
5.51805,0.263644,0.0481786,0.5,0.5,-0.184551,-0.033725,2.76747,-2.04484,2.50383,-2.09302,3.89472,0.5
5.53812,0.262051,0.0341048,0.5,0.5,-0.183436,-0.0238734,2.76309,-2.04333,2.50104,-2.07744,3.89408,0.5
5.55804,0.255531,0.036355,0.5,0.5,-0.178872,-0.0254485,2.75657,-2.04108,2.50104,-2.07744,3.89408,0.5
5.57803,0.250471,0.0373318,0.5,0.5,-0.17533,-0.0261323,2.75151,-2.0401,2.50104,-2.07744,3.89408,0.5
5.59801,0.23419,-0.0142675,0.5,0.485732,-0.163933,0.00998727,2.74662,-2.03914,2.51243,-2.02487,3.79736,0.5
5.61904,0.23419,-0.0142675,0.5,0.471465,-0.163933,0.00998727,2.74662,-2.03914,2.51243,-2.02487,3.79736,0.5
5.63922,0.22694,-0.0128787,0.5,0.458586,-0.158858,0.00901512,2.73938,-2.03775,2.51243,-2.02487,3.79736,0.5
5.65798,0.217958,-0.0110627,0.5,0.447523,-0.152571,0.00774389,2.73039,-2.03594,2.51243,-2.02487,3.79736,0.5
5.67804,0.223348,-0.0500569,0.5,0.397467,-0.156343,0.0350398,2.72591,-2.03498,2.50257,-1.98492,3.81803,0.5
5.69902,0.219177,-0.0491134,0.5,0.348353,-0.153424,0.0343794,2.72174,-2.03403,2.50257,-1.98492,3.81803,0.5
5.71798,0.188738,-0.0984493,0.5,0.249904,-0.132116,0.0689145,2.71766,-2.03303,2.52892,-1.93458,3.8478,0.5
5.73797,0.182674,-0.0969467,0.5,0.152957,-0.127871,0.0678627,2.71159,-2.03153,2.52892,-1.93458,3.8478,0.5
5.75831,0.178887,-0.0959134,0.5,0.0570437,-0.125221,0.0671394,2.7078,-2.03049,2.52892,-1.93458,3.8478,0.5
5.77795,0.175221,-0.0948808,0.5,-0.0378371,-0.122654,0.0664166,2.70414,-2.02946,2.52892,-1.93458,3.8478,0.5
5.79878,0.158458,-0.133238,0.5,-0.171075,-0.11092,0.0932666,2.70043,-2.02837,2.54197,-1.89513,3.84384,0.5
5.81794,0.153383,-0.131639,0.5,-0.302714,-0.107368,0.0921472,2.69536,-2.02677,2.54197,-1.89513,3.84384,0.5
5.83786,0.13289,-0.156101,0.5,-0.458815,-0.0930231,0.109271,2.69198,-2.02606,2.55909,-1.86996,3.70204,0.5
5.85801,0.129479,-0.155277,0.5,-0.5,-0.0906352,0.108694,2.68857,-2.02524,2.55909,-1.86996,3.70204,0.5
5.88038,0.127913,-0.15488,0.5,-0.5,-0.0895392,0.108416,2.687,-2.02484,2.55909,-1.86996,3.70204,0.5
5.89982,0.104361,-0.177372,0.5,-0.5,-0.0730527,0.124161,2.68395,-2.02405,2.57959,-1.84668,3.70354,0.5
5.91788,0.0983779,-0.175546,0.5,-0.5,-0.0688645,0.122882,2.67797,-2.02223,2.57959,-1.84668,3.70354,0.5
5.93784,0.0906921,-0.185835,0.5,-0.5,-0.0634845,0.130085,2.67525,-2.02132,2.58456,-1.83548,3.71285,0.5
5.95823,0.0881232,-0.185135,0.5,-0.5,-0.0616862,0.129594,2.67268,-2.02062,2.58456,-1.83548,3.71285,0.5
5.97792,0.0855833,-0.184531,0.5,-0.5,-0.0599083,0.129172,2.67014,-2.02001,2.58456,-1.83548,3.71285,0.5
6.00025,0.0628536,-0.184667,0.5,-0.5,-0.0439975,0.129267,2.66676,-2.01909,2.6039,-1.83442,3.72404,0.5
6.01787,0.0617679,-0.184339,0.5,-0.5,-0.0432375,0.129037,2.66567,-2.01876,2.6039,-1.83442,3.72404,0.5
6.03793,0.0586022,-0.183198,0.5,-0.5,-0.0410215,0.128239,2.66251,-2.01762,2.6039,-1.83442,3.72404,0.5
6.0579,0.0386037,-0.173916,0.5,-0.5,-0.0270226,0.121741,2.66057,-2.01687,2.62196,-1.84295,3.6917,0.5
6.07787,0.0367507,-0.173105,0.5,-0.5,-0.0257255,0.121174,2.65871,-2.01606,2.62196,-1.84295,3.6917,0.5
6.10034,0.0357737,-0.17256,0.5,-0.5,-0.0250416,0.120792,2.65774,-2.01551,2.62196,-1.84295,3.6917,0.5
6.12007,0.0166875,-0.166516,0.5,-0.5,-0.0116812,0.116562,2.65393,-2.01586,2.63724,-1.84934,3.68001,0.5
6.13787,0.0146576,-0.167597,0.5,-0.5,-0.0102603,0.117318,2.6519,-2.01694,2.63724,-1.84934,3.68001,0.5
6.15996,-0.01146,-0.159207,0.48854,-0.5,0.00802197,0.111445,2.65083,-2.01732,2.66229,-1.85812,3.60161,0.5
6.17836,-0.0142182,-0.160589,0.474322,-0.5,0.00995276,0.112412,2.64807,-2.0187,2.66229,-1.85812,3.60161,0.5
6.19819,-0.0166098,-0.161811,0.457712,-0.5,0.0116269,0.113268,2.64568,-2.01993,2.66229,-1.85812,3.60161,0.5
6.21774,-0.029968,-0.164234,0.427744,-0.5,0.0209776,0.114964,2.64456,-2.0209,2.67453,-1.85666,3.66826,0.5
6.24496,-0.0310675,-0.165121,0.396676,-0.5,0.0217473,0.115585,2.64346,-2.02179,2.67453,-1.85666,3.66826,0.5
6.25781,-0.0320823,-0.165967,0.364594,-0.5,0.0224576,0.116177,2.64245,-2.02263,2.67453,-1.85666,3.66826,0.5
6.27995,-0.0437164,-0.158191,0.320878,-0.5,0.0306015,0.110734,2.64184,-2.02291,2.68556,-1.86472,3.57423,0.5
6.29773,-0.0454642,-0.159615,0.275414,-0.5,0.0318249,0.11173,2.64009,-2.02433,2.68556,-1.86472,3.57423,0.5
6.31772,-0.0577231,-0.167069,0.21769,-0.5,0.0404062,0.116948,2.63927,-2.02493,2.69699,-1.85786,3.61634,0.5
6.3381,-0.0587212,-0.168249,0.158969,-0.5,0.0411048,0.117774,2.63827,-2.02611,2.69699,-1.85786,3.61634,0.5
6.3577,-0.0598095,-0.170041,0.0991598,-0.5,0.0418667,0.119028,2.63718,-2.02791,2.69699,-1.85786,3.61634,0.5
6.38017,-0.065385,-0.169353,0.0337747,-0.5,0.0457695,0.118547,2.63612,-2.0297,2.7015,-1.86034,3.5951,0.5
6.39788,-0.0663525,-0.170991,-0.0325778,-0.5,0.0464468,0.119693,2.63515,-2.03133,2.7015,-1.86034,3.5951,0.5
6.41771,-0.0672938,-0.172405,-0.0998716,-0.5,0.0471057,0.120684,2.63421,-2.03275,2.7015,-1.86034,3.5951,0.5
6.43768,-0.0610521,-0.1745,-0.160924,-0.5,0.0427365,0.12215,2.63299,-2.03492,2.69404,-1.86042,3.52371,0.5
6.45885,-0.0614796,-0.175208,-0.222403,-0.5,0.0430357,0.122645,2.63256,-2.03562,2.69404,-1.86042,3.52371,0.5
6.47765,-0.064379,-0.178611,-0.286782,-0.5,0.0450653,0.125028,2.62966,-2.03903,2.69404,-1.86042,3.52371,0.5
6.49953,-0.0574867,-0.169554,-0.344269,-0.5,0.0402407,0.118688,2.62841,-2.04069,2.6859,-1.87113,3.55678,0.5
6.51794,-0.0587916,-0.171074,-0.403061,-0.5,0.0411541,0.119752,2.6271,-2.04221,2.6859,-1.87113,3.55678,0.5
6.5428,-0.0546168,-0.152927,-0.457677,-0.5,0.0382317,0.107049,2.62586,-2.04374,2.68048,-1.89081,3.53834,0.5
6.55761,-0.0564209,-0.155099,-0.5,-0.5,0.0394946,0.108569,2.62406,-2.04591,2.68048,-1.89081,3.53834,0.5
6.5776,-0.0579479,-0.156969,-0.5,-0.5,0.0405636,0.109879,2.62253,-2.04778,2.68048,-1.89081,3.53834,0.5
6.59814,-0.061142,-0.138458,-0.5,-0.5,0.0427994,0.0969204,2.62079,-2.05016,2.68193,-1.91171,3.54233,0.5
6.61759,-0.0628396,-0.140751,-0.5,-0.5,0.0439877,0.0985256,2.6191,-2.05246,2.68193,-1.91171,3.54233,0.5
6.63799,-0.049935,-0.124311,-0.5,-0.5,0.0349545,0.0870178,2.61825,-2.05357,2.66819,-1.92926,3.45814,0.5
6.66031,-0.0523857,-0.127406,-0.5,-0.5,0.03667,0.089184,2.6158,-2.05666,2.66819,-1.92926,3.45814,0.5
6.67764,-0.05469,-0.130359,-0.5,-0.5,0.038283,0.0912515,2.6135,-2.05962,2.66819,-1.92926,3.45814,0.5
6.70211,-0.0504784,-0.122888,-0.5,-0.5,0.0353349,0.0860216,2.61188,-2.06145,2.66236,-1.93857,3.49495,0.5
6.71756,-0.053709,-0.124531,-0.5,-0.5,0.0375963,0.0871715,2.60865,-2.0631,2.66236,-1.93857,3.49495,0.5
6.73751,-0.0584433,-0.126793,-0.5,-0.5,0.0409103,0.0887552,2.60391,-2.06536,2.66236,-1.93857,3.49495,0.5
6.75753,-0.0394196,-0.126641,-0.5,-0.5,0.0275937,0.0886484,2.60073,-2.06676,2.64015,-1.94012,3.47399,0.5
6.77755,-0.0424349,-0.127992,-0.5,-0.5,0.0297044,0.0895945,2.59771,-2.06811,2.64015,-1.94012,3.47399,0.5
6.79748,-0.0453827,-0.129259,-0.5,-0.5,0.0317679,0.0904815,2.59477,-2.06938,2.64015,-1.94012,3.47399,0.5
6.81755,-0.0300903,-0.121271,-0.5,-0.5,0.0210632,0.08489,2.59179,-2.07052,2.62188,-1.94925,3.43726,0.5
6.83749,-0.0346128,-0.124058,-0.5,-0.5,0.024229,0.0868405,2.58727,-2.07331,2.62188,-1.94925,3.43726,0.5
