timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y,above_ground_altitude,target_z
10.2953,0.57535,0.556849,0.5,0.5,-0.402745,-0.389794,2.63332,2.12502,2.05797,1.56817,2.89206,0
10.3136,0.574491,0.553541,0.5,0.5,-0.402143,-0.387478,2.63246,2.12171,2.05797,1.56817,2.89206,0.5
10.3334,0.573306,0.548971,0.5,0.5,-0.401314,-0.38428,2.63127,2.11714,2.05797,1.56817,2.89206,0.5
10.3534,0.576465,0.545002,0.5,0.5,-0.403525,-0.381501,2.6295,2.11264,2.05303,1.56764,2.85453,0.5
10.3733,0.575829,0.543564,0.5,0.5,-0.40308,-0.380495,2.62886,2.1112,2.05303,1.56764,2.85453,0.5
10.3934,0.57467,0.539669,0.5,0.5,-0.402269,-0.377768,2.6277,2.10731,2.05303,1.56764,2.85453,0.5
10.4158,0.580304,0.486501,0.5,0.5,-0.406213,-0.340551,2.62556,2.10143,2.04525,1.61493,2.90451,0.5
10.4338,0.578874,0.482732,0.5,0.5,-0.405212,-0.337912,2.62413,2.09766,2.04525,1.61493,2.90451,0.5
10.4616,0.561739,0.3878,0.5,0.5,-0.393217,-0.27146,2.62264,2.09397,2.0609,1.70617,2.85498,0.5
10.4734,0.559954,0.384031,0.5,0.5,-0.391968,-0.268822,2.62085,2.0902,2.0609,1.70617,2.85498,0.5
10.4934,0.559517,0.306699,0.5,0.5,-0.391662,-0.21469,2.61918,2.08665,2.05966,1.77995,2.89018,0.5
10.5138,0.557318,0.300381,0.5,0.5,-0.390123,-0.210267,2.61698,2.08033,2.05966,1.77995,2.89018,0.5
10.5334,0.555478,0.296069,0.5,0.5,-0.388834,-0.207248,2.61514,2.07602,2.05966,1.77995,2.89018,0.5
10.5535,0.549044,0.206577,0.5,0.5,-0.384331,-0.144604,2.6134,2.07189,2.06435,1.86532,2.87154,0.5
10.5735,0.547153,0.202485,0.5,0.5,-0.383007,-0.14174,2.6115,2.0678,2.06435,1.86532,2.87154,0.5
10.5934,0.543813,0.19617,0.5,0.5,-0.380669,-0.137319,2.60816,2.06149,2.06435,1.86532,2.87154,0.5
10.6144,0.540474,0.159871,0.5,0.5,-0.378332,-0.111909,2.60592,2.05742,2.06544,1.89754,2.86036,0.5
10.6335,0.538672,0.155616,0.5,0.5,-0.377071,-0.108931,2.60411,2.05316,2.06544,1.89754,2.86036,0.5
10.6534,0.537009,0.150976,0.5,0.5,-0.375906,-0.105683,2.60245,2.04852,2.06544,1.89754,2.86036,0.5
10.6747,0.549053,0.138685,0.5,0.5,-0.384337,-0.0970793,2.60083,2.04407,2.05178,1.90538,2.87169,0.5
10.6935,0.546005,0.131867,0.5,0.5,-0.382203,-0.0923071,2.59778,2.03725,2.05178,1.90538,2.87169,0.5
10.7144,0.554782,0.122676,0.5,0.5,-0.388347,-0.0858729,2.59569,2.03285,2.04091,1.91018,2.85014,0.5
10.7336,0.552517,0.118315,0.5,0.5,-0.386762,-0.0828203,2.59343,2.02849,2.04091,1.91018,2.85014,0.5
10.7587,0.562668,0.0949622,0.5,0.5,-0.393868,-0.0664735,2.59127,2.02367,2.0286,1.92871,2.86065,0.5
10.7734,0.561231,0.0902019,0.5,0.5,-0.392862,-0.0631413,2.58983,2.01891,2.0286,1.92871,2.86065,0.5
10.7934,0.558433,0.0831514,0.5,0.5,-0.390903,-0.058206,2.58703,2.01186,2.0286,1.92871,2.86065,0.5
10.8137,0.617097,0.129983,0.5,0.5,-0.431968,-0.0909879,2.58494,2.00733,1.96784,1.87735,2.82449,0.5
10.8334,0.614432,0.125323,0.5,0.5,-0.430103,-0.087726,2.58227,2.00267,1.96784,1.87735,2.82449,0.5
10.8534,0.611922,0.121029,0.5,0.5,-0.428345,-0.0847201,2.57976,1.99838,1.96784,1.87735,2.82449,0.5
10.8734,0.694452,0.175028,0.5,0.5,-0.486117,-0.12252,2.57628,1.992,1.88183,1.81697,2.79668,0.5
10.8934,0.692264,0.170492,0.5,0.5,-0.484584,-0.119344,2.57409,1.98747,1.88183,1.81697,2.79668,0.5
10.9134,0.690259,0.166252,0.5,0.5,-0.483181,-0.116377,2.57209,1.98323,1.88183,1.81697,2.79668,0.5
10.9497,0.734163,0.134026,0.5,0.5,-0.5,-0.0938182,2.5699,1.97909,1.83574,1.84506,2.75812,0.5
10.9534,0.731325,0.129752,0.5,0.5,-0.5,-0.0908263,2.56706,1.97481,1.83574,1.84506,2.75812,0.5
10.9743,0.72727,0.123793,0.5,0.5,-0.5,-0.0866552,2.56301,1.96885,1.83574,1.84506,2.75812,0.5
11.0005,0.72234,0.117848,0.5,0.5,-0.5,-0.0824935,2.55808,1.96291,1.83574,1.84506,2.75812,0.5
11.0136,0.720727,0.115965,0.5,0.5,-0.5,-0.0811755,2.55646,1.96103,1.83574,1.84506,2.75812,0.5
11.0528,0.717361,0.112309,0.5,0.5,-0.5,-0.0786165,2.5531,1.95737,1.83574,1.84506,2.75812,0.5
11.0588,0.714235,0.105321,0.5,0.5,-0.499964,-0.0737245,2.54997,1.95038,1.83574,1.84506,2.75812,0.5
11.0739,0.71135,0.100581,0.5,0.5,-0.497945,-0.0704069,2.54709,1.94564,1.83574,1.84506,2.75812,0.5
11.0933,0.688508,0.0477699,0.5,0.5,-0.481956,-0.0334389,2.54441,1.94121,1.8559,1.89344,2.73263,0.5
11.1134,0.685116,0.0432552,0.5,0.5,-0.479581,-0.0302787,2.54101,1.93669,1.8559,1.89344,2.73263,0.5
11.1334,0.68234,0.0387221,0.5,0.5,-0.477638,-0.0271054,2.53824,1.93216,1.8559,1.89344,2.73263,0.5
11.1534,0.678234,0.031513,0.5,0.5,-0.474764,-0.0220591,2.53413,1.92495,1.8559,1.89344,2.73263,0.5
11.1734,0.630974,0.0291564,0.5,0.5,-0.441682,-0.0204094,2.53053,1.92009,1.89955,1.89093,2.68671,0.5
11.1935,0.627584,0.0245939,0.5,0.5,-0.439309,-0.0172157,2.52714,1.91552,1.89955,1.89093,2.68671,0.5
11.2134,0.616057,0.032247,0.5,0.5,-0.43124,-0.0225729,2.52349,1.91111,1.90744,1.87886,2.67258,0.5
11.2337,0.611593,0.0276806,0.5,0.5,-0.428115,-0.0193764,2.51903,1.90654,1.90744,1.87886,2.67258,0.5
11.2535,0.58887,0.061639,0.5,0.5,-0.412209,-0.0431473,2.51299,1.89953,1.92412,1.83789,2.65128,0.5
11.2735,0.585098,0.0561808,0.5,0.5,-0.409568,-0.0393265,2.50922,1.89407,1.92412,1.83789,2.65128,0.5
11.2934,0.593411,0.0814284,0.5,0.5,-0.415388,-0.0569999,2.50457,1.88858,1.91116,1.80716,2.62274,0.5
11.3135,0.589069,0.0762657,0.5,0.5,-0.412348,-0.053386,2.50023,1.88342,1.91116,1.80716,2.62274,0.5
11.3334,0.582098,0.0688133,0.5,0.5,-0.407469,-0.0481693,2.49326,1.87597,1.91116,1.80716,2.62274,0.5
11.3535,0.609456,0.0950237,0.5,0.5,-0.426619,-0.0665166,2.4877,1.87094,1.87825,1.77591,2.61373,0.5
11.3735,0.60385,0.088774,0.5,0.5,-0.422695,-0.0621418,2.4821,1.86469,1.87825,1.77591,2.61373,0.5
11.3935,0.597539,0.0811849,0.5,0.5,-0.418277,-0.0568294,2.47579,1.8571,1.87825,1.77591,2.61373,0.5
11.4135,0.616407,0.1294,0.5,0.5,-0.431485,-0.0905801,2.46867,1.8496,1.85226,1.7202,2.59173,0.5
11.4376,0.606393,0.118874,0.5,0.5,-0.424475,-0.0832119,2.45865,1.83908,1.85226,1.7202,2.59173,0.5
11.4535,0.599529,0.11205,0.5,0.5,-0.41967,-0.078435,2.45179,1.83225,1.85226,1.7202,2.59173,0.5
11.4734,0.615366,0.160502,0.5,0.5,-0.430756,-0.112352,2.444,1.82536,1.82864,1.66485,2.55474,0.5
11.496,0.608094,0.154007,0.5,0.5,-0.425666,-0.107805,2.43673,1.81886,1.82864,1.66485,2.55474,0.5
11.5134,0.625489,0.1663,0.5,0.5,-0.437842,-0.11641,2.42477,1.8097,1.79928,1.6434,2.57857,0.5
11.5354,0.61788,0.160499,0.5,0.5,-0.432516,-0.112349,2.41716,1.8039,1.79928,1.6434,2.57857,0.5
11.5541,0.610137,0.154763,0.5,0.5,-0.427096,-0.108334,2.40941,1.79817,1.79928,1.6434,2.57857,0.5
11.5734,0.608002,0.19393,0.5,0.5,-0.425601,-0.135751,2.4008,1.79232,1.7928,1.59839,2.54257,0.5
11.5935,0.59996,0.188496,0.5,0.5,-0.419972,-0.131947,2.39276,1.78689,1.7928,1.59839,2.54257,0.5
11.6134,0.587737,0.180578,0.5,0.5,-0.411416,-0.126405,2.38053,1.77897,1.7928,1.59839,2.54257,0.5
11.6334,0.563764,0.197056,0.5,0.5,-0.394635,-0.137939,2.3717,1.77204,1.80793,1.57498,2.50141,0.5
11.6534,0.55558,0.19048,0.5,0.5,-0.388906,-0.133336,2.36351,1.76546,1.80793,1.57498,2.50141,0.5
11.6767,0.547254,0.184045,0.5,0.5,-0.383078,-0.128831,2.35519,1.75903,1.80793,1.57498,2.50141,0.5
11.6974,0.533874,0.174461,0.5,0.5,-0.373712,-0.122122,2.34181,1.74944,1.80793,1.57498,2.50141,0.5
